feature_index,SPI-1,SPI-2,ks_statistic,n_GaussianNoise,n_CML
137,anm,plv_multitaper_max_fs-1_fmin-0_fmax-0-5,0.18453963060434758,64,64
138,anm,plv_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.3741625662106512,64,64
139,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.3145595450092611,64,64
140,anm,plv_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.35895550055856734,64,64
141,anm,ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.2813265189741566,64,64
142,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.17670717451233575,64,64
143,anm,ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.18453963060434758,64,64
144,anm,ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.5077950032318463,64,64
145,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.5026885216869741,64,64
146,anm,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5609222174428115,64,64
147,anm,prec-sq_EmpiricalCovariance,0.47475072273065855,64,64
148,anm,prec-sq_GraphicalLasso,0.5149499807914131,64,64
149,anm,prec-sq_LedoitWolf,0.8686821069201883,64,64
150,anm,prec-sq_OAS,0.8457704888704218,64,64
151,anm,prec-sq_ShrunkCovariance,0.49133701419469095,64,64
152,anm,prec_EmpiricalCovariance,0.3257907165128552,64,64
153,anm,prec_GraphicalLasso,0.31718293259635827,64,64
154,anm,prec_LedoitWolf,0.5667274685941527,64,64
155,anm,prec_OAS,0.5797311635017831,64,64
156,anm,prec_ShrunkCovariance,0.33330368232485236,64,64
157,anm,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.038357930432289356,64,64
158,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08493608614009776,64,64
159,anm,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.06151995820727352,64,64
160,anm,psi_wavelet_max_fs-1_fmin-0-25_fmax-0-5_max,0.0777497097485873,64,64
161,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-25_max,0.04865850114467429,64,64
162,anm,psi_wavelet_max_fs-1_fmin-0_fmax-0-5_max,0.04490272101329257,64,64
163,anm,psi_wavelet_mean_fs-1_fmin-0-25_fmax-0-5_mean,0.09407613586487465,64,64
164,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.1364251308720128,64,64
165,anm,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.12205689810752446,64,64
166,anm,reci,0.17723346487311326,64,64
167,anm,sgc_nonparametric_max_fs-1_fmin-0-25_fmax-0-5,0.30221290915987176,64,64
168,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-25,0.2701654604883735,64,64
169,anm,sgc_nonparametric_max_fs-1_fmin-0_fmax-0-5,0.3303721554515629,64,64
170,anm,sgc_nonparametric_mean_fs-1_fmin-0-25_fmax-0-5,0.3431445177552208,64,64
171,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-25,0.2723530652890899,64,64
172,anm,sgc_nonparametric_mean_fs-1_fmin-0_fmax-0-5,0.3577527636762559,64,64
173,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-1,0.3787376064912529,64,64
174,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-20,0.3680614103729895,64,64
175,anm,sgc_parametric_max_fs-1_fmin-0-25_fmax-0-5_order-None,0.9189539467246838,64,64
176,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-1,0.3815751348745213,64,64
177,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-20,0.1925402847107916,64,64
178,anm,sgc_parametric_max_fs-1_fmin-0_fmax-0-25_order-None,0.8509729189931973,64,64
179,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-1,0.37779995619286383,64,64
180,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-20,0.37252878364838243,64,64
181,anm,sgc_parametric_max_fs-1_fmin-1e-05_fmax-0-5_order-None,0.9158223395278635,64,64
182,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-1,0.3795859020047751,64,64
183,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-20,0.3019668772791906,64,64
184,anm,sgc_parametric_mean_fs-1_fmin-0-25_fmax-0-5_order-None,0.9159733106056835,64,64
185,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-1,0.38021131881015857,64,64
186,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-20,0.21039338970278337,64,64
187,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-25_order-None,0.8461665471701278,64,64
188,anm,sgc_parametric_mean_fs-1_fmin-0_fmax-0-5_order-None,0.9101221179695514,64,64
189,anm,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-1,0.37977632180310095,64,64
190,anm,sgc_parametric_mean_fs-1_fmin-1e-05_fmax-0-5_order-20,0.31926501928407974,64,64
191,anm,si_gaussian_k-1,0.8964531991361154,64,64
192,anm,si_kernel_W-0.5_k-1,0.6481855567725152,64,64
193,anm,si_kozachenko_k-1,0.18459851461256058,64,64
194,anm,spearmanr,0.28414142391417574,64,64
195,anm,spearmanr-sq,0.7033374095062163,64,64
196,anm,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.5913381901804453,64,64
197,anm,tlmi_gaussian,0.7608657945577688,64,64
198,anm,tlmi_kernel_W-0.25,0.9119739451429021,64,64
199,anm,tlmi_kraskov_NN-4,0.9538211930669978,64,64
200,anm,tlmi_kraskov_NN-4_DCE,0.8966622411114298,64,64
201,anm,wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.015200803353166314,64,64
202,anm,wpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.03537617219543798,64,64
203,anm,wpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.025695596747300264,64,64
204,anm,wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.125,64,64
205,anm,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.1875,64,64
206,anm,wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.125,64,64
207,anm,xcorr-sq_max_sig-True,0.6162285654025267,64,64
208,anm,xcorr-sq_mean_sig-False,0.652127881327021,64,64
209,anm,xcorr-sq_mean_sig-True,0.641478857990886,64,64
210,anm,xcorr_max_sig-True,0.5913398293869624,64,64
211,anm,xcorr_mean_sig-False,0.44209458763669407,64,64
212,anm,xcorr_mean_sig-True,0.4106101269285584,64,64
213,anm,xme_gaussian_k1,0.5087114379981136,64,64
214,anm,xme_gaussian_k10,0.5636962778206621,64,64
215,anm,xme_kernel_W-0.5_k1,0.5332317460710836,64,64
216,anm,xme_kernel_W-0.5_k10,0.3044264603318452,64,64
217,anm,xme_kozachenko_k1,0.7024832143147677,64,64
218,anm,xme_kozachenko_k10,0.22779792485442796,64,64
219,bary-sq_euclidean_max,bary-sq_euclidean_mean,0.2886430096054582,64,64
220,bary-sq_euclidean_max,bary_euclidean_max,0.8848388752952495,64,64
221,bary-sq_euclidean_max,bary_euclidean_mean,0.09375,64,64
222,bary-sq_euclidean_max,cce_gaussian,0.8087373659165825,64,64
223,bary-sq_euclidean_max,cce_kernel_W-0.5,0.7011980491534641,64,64
224,bary-sq_euclidean_max,cce_kozachenko,0.12161107870757558,64,64
