feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1),n_Wave1D
208,anm,xcorr-sq_mean_sig-False,0.21110478688763712,64,64
209,anm,xcorr-sq_mean_sig-True,0.205220867101974,64,64
210,anm,xcorr_max_sig-True,0.13597202517419416,64,64
211,anm,xcorr_mean_sig-False,0.3003722972523142,64,64
212,anm,xcorr_mean_sig-True,0.5918737998747146,64,64
213,anm,xme_gaussian_k1,0.08883240445272728,64,64
214,anm,xme_gaussian_k10,0.984375,64,64
215,anm,xme_kernel_W-0.5_k1,0.16295623357222233,64,64
216,anm,xme_kernel_W-0.5_k10,0.3847648707606448,64,64
217,anm,xme_kozachenko_k1,0.21272381140841046,64,64
218,anm,xme_kozachenko_k10,0.3760770671698637,64,64
219,bary-sq_euclidean_max,bary-sq_euclidean_mean,0.6136963685092953,64,64
220,bary-sq_euclidean_max,bary_euclidean_max,0.619826337823977,64,64
221,bary-sq_euclidean_max,bary_euclidean_mean,0.109375,64,64
222,bary-sq_euclidean_max,cce_gaussian,0.71875,64,64
223,bary-sq_euclidean_max,cce_kernel_W-0.5,0.008427695502452814,64,64
224,bary-sq_euclidean_max,cce_kozachenko,0.2077824891349449,64,64
225,bary-sq_euclidean_max,cds,0.14430114652565357,64,64
226,bary-sq_euclidean_max,ce_gaussian,0.828125,64,64
227,bary-sq_euclidean_max,ce_kernel_W-0.5,0.1819446414275917,64,64
228,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1838754495085192,64,64
229,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25,0.15150806337865086,64,64
230,bary-sq_euclidean_max,cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12729596099261709,64,64
231,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.12728462358726078,64,64
232,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.04128761652049889,64,64
233,bary-sq_euclidean_max,cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.02374889302763572,64,64
234,bary-sq_euclidean_max,coint_aeg_tstat_trend-c_autolag-aic_maxlag-10,0.84375,64,64
235,bary-sq_euclidean_max,coint_aeg_tstat_trend-ct_autolag-aic_maxlag-10,0.78125,64,64
236,bary-sq_euclidean_max,coint_aeg_tstat_trend-ct_autolag-bic_maxlag-10,0.78125,64,64
237,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-0_ardiff-1,0.828125,64,64
238,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-0_ardiff-10,0.14850568042179746,64,64
239,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-1_ardiff-1,0.2712862597617267,64,64
240,bary-sq_euclidean_max,coint_johansen_max_eig_stat_order-1_ardiff-10,0.08014642746675306,64,64
241,bary-sq_euclidean_max,coint_johansen_trace_stat_order-0_ardiff-1,0.84375,64,64
242,bary-sq_euclidean_max,coint_johansen_trace_stat_order-0_ardiff-10,0.12487550692672977,64,64
243,bary-sq_euclidean_max,coint_johansen_trace_stat_order-1_ardiff-1,0.145127328574303,64,64
244,bary-sq_euclidean_max,coint_johansen_trace_stat_order-1_ardiff-10,0.08213041495732532,64,64
245,bary-sq_euclidean_max,cov-sq_EmpiricalCovariance,0.1422567267284771,64,64
246,bary-sq_euclidean_max,cov-sq_GraphicalLasso,0.5574350092061366,64,64
247,bary-sq_euclidean_max,cov-sq_LedoitWolf,0.1422548013463718,64,64
248,bary-sq_euclidean_max,cov-sq_OAS,0.14225642104568192,64,64
249,bary-sq_euclidean_max,cov-sq_ShrunkCovariance,0.14225146042577985,64,64
250,bary-sq_euclidean_max,cov_EmpiricalCovariance,0.6137544099065557,64,64
251,bary-sq_euclidean_max,cov_GraphicalLasso,0.14042525255406918,64,64
