feature_index,SPI-1,SPI-2,ks_statistic,n_CML,n_VAR(1)
127,cov_EmpiricalCovariance,dswpli_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.23550621866762667,241,240
128,cov_EmpiricalCovariance,dswpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.21558936697140652,241,240
129,cov_EmpiricalCovariance,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-5,0.08046334716459198,241,240
130,cov_EmpiricalCovariance,dswpli_multitaper_max_fs-1_fmin-0_fmax-0-25,0.3474224607971241,241,240
131,cov_EmpiricalCovariance,dswpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.26856059213484695,241,240
132,cov_EmpiricalCovariance,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.3418586830727294,241,240
133,cov_EmpiricalCovariance,ppc_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4029111531038087,241,240
134,cov_EmpiricalCovariance,ppc_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.10232258144521383,241,240
135,cov_EmpiricalCovariance,ppc_multitaper_max_fs-1_fmin-0_fmax-0-5,0.12969186997694065,241,240
136,cov_EmpiricalCovariance,ppc_multitaper_max_fs-1_fmin-0_fmax-0-25,0.1821570611594011,241,240
137,cov_EmpiricalCovariance,ppc_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.1278752327700109,241,240
138,cov_EmpiricalCovariance,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.39575133797919126,241,240
139,cov_EmpiricalCovariance,dtf_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.4616366576192517,241,240
140,cov_EmpiricalCovariance,dtf_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.24976629742068607,241,240
141,cov_EmpiricalCovariance,dtf_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4274419769481673,241,240
142,cov_EmpiricalCovariance,dtf_multitaper_max_fs-1_fmin-0_fmax-0-25,0.4709021476208558,241,240
143,cov_EmpiricalCovariance,dtf_multitaper_max_fs-1_fmin-0-25_fmax-0-5,0.22727495709384,241,240
144,cov_EmpiricalCovariance,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.5407807227233328,241,240
145,cov_EmpiricalCovariance,dcoh_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.6064751936898825,241,240
146,cov_EmpiricalCovariance,dcoh_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.22464286247314313,241,240
147,cov_EmpiricalCovariance,dcoh_multitaper_max_fs-1_fmin-0_fmax-0-5,0.4984397832800427,241,240
