feature_index,SPI-1,SPI-2,ks_statistic,n_MackeyGlass,n_VAR(1)-Unidirectional
266,cov_GraphicalLassoCV,prec-sq_EmpiricalCovariance,0.11468712880453788,96,96
267,cov_GraphicalLassoCV,prec-sq_EllipticEnvelope,0.22453035666665072,96,96
268,cov_GraphicalLassoCV,prec-sq_GraphicalLasso,0.2538440338608804,96,96
269,cov_GraphicalLassoCV,prec-sq_GraphicalLassoCV,0.2261577842862612,96,96
270,cov_GraphicalLassoCV,prec-sq_LedoitWolf,0.22907367997080447,96,96
271,cov_GraphicalLassoCV,prec-sq_MinCovDet,0.222255051368702,96,96
272,cov_GraphicalLassoCV,prec-sq_OAS,0.24899199111485681,96,96
273,cov_GraphicalLassoCV,prec-sq_ShrunkCovariance,0.3290781818897652,96,96
274,cov_GraphicalLassoCV,spearmanr-sq,0.20894949839017896,96,96
275,cov_GraphicalLassoCV,spearmanr,0.7241765619439992,96,96
276,cov_GraphicalLassoCV,kendalltau-sq,0.20444631628315335,96,96
277,cov_GraphicalLassoCV,kendalltau,0.6991783127417316,96,96
278,cov_GraphicalLassoCV,xcorr_max_sig-True,0.34424549301384855,96,96
279,cov_GraphicalLassoCV,xcorr-sq_max_sig-True,0.2796246427687749,96,96
280,cov_GraphicalLassoCV,xcorr_mean_sig-True,0.17456143923364886,96,96
281,cov_GraphicalLassoCV,xcorr-sq_mean_sig-True,0.2245874974583185,96,96
282,cov_GraphicalLassoCV,xcorr_mean_sig-False,0.1314899630280745,96,96
283,cov_GraphicalLassoCV,xcorr-sq_mean_sig-False,0.3140991586822458,96,96
284,cov_GraphicalLassoCV,pdist_euclidean,0.8198504602359344,96,96
285,cov_GraphicalLassoCV,pdist_cityblock,0.774658135652947,96,96
286,cov_GraphicalLassoCV,pdist_cosine,0.8198504602359344,96,96
287,cov_GraphicalLassoCV,pdist_chebyshev,0.9668399168951838,96,96
288,cov_GraphicalLassoCV,pdist_canberra,0.7278672957411965,96,96
289,cov_GraphicalLassoCV,pdist_braycurtis,0.7548570242851943,96,96
290,cov_GraphicalLassoCV,di_gaussian,1.0,96,96
291,cov_GraphicalLassoCV,di_kozachenko,0.4891076859288547,96,96
292,cov_GraphicalLassoCV,di_kernel_W-0.5,0.6693709894466351,96,96
293,cov_GraphicalLassoCV,mi_gaussian,0.20959772969206858,96,96
294,cov_GraphicalLassoCV,mi_kraskov_NN-4,0.5064648207371008,96,96
295,cov_GraphicalLassoCV,mi_kraskov_NN-4_DCE,0.5154467207029105,96,96
296,cov_GraphicalLassoCV,mi_kernel_W-0.25,0.35626940565049015,96,96
297,cov_GraphicalLassoCV,tlmi_gaussian,0.19489502718774543,96,96
298,cov_GraphicalLassoCV,tlmi_kraskov_NN-4,0.6038295481400442,96,96
299,cov_GraphicalLassoCV,tlmi_kraskov_NN-4_DCE,0.5866927154306614,96,96
300,cov_GraphicalLassoCV,tlmi_kernel_W-0.25,0.3438662098595965,96,96
301,cov_GraphicalLassoCV,te_kraskov_NN-4_k-max-10_tau-max-4,0.3076805736731867,96,96
302,cov_GraphicalLassoCV,te_kraskov_NN-4_DCE_k-max-10_tau-max-4,0.3324214483074429,96,96
303,cov_GraphicalLassoCV,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1,0.2927910147539481,96,96
304,cov_GraphicalLassoCV,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1,0.32298173330987756,96,96
305,cov_GraphicalLassoCV,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1,0.37793474016049167,96,96
306,cov_GraphicalLassoCV,te_kernel_W-0.25_k-1,0.2119201053181761,96,96
307,cov_GraphicalLassoCV,gc_gaussian_k-max-10_tau-max-2,1.0,96,96
308,cov_GraphicalLassoCV,gc_gaussian_k-1_kt-1_l-1_lt-1,0.2476364702899441,96,96
309,cov_GraphicalLassoCV,te_symbolic_k-1_kt-1_l-1_lt-1,0.2476364702899441,96,96
310,cov_GraphicalLassoCV,te_symbolic_k-10_kt-1_l-1_lt-1,1.0,96,96
311,cov_GraphicalLassoCV,psi_multitaper_mean_fs-1_fmin-0_fmax-0-5,0.125,96,96
312,cov_GraphicalLassoCV,psi_multitaper_mean_fs-1_fmin-0_fmax-0-25,0.08333333333333333,96,96
313,cov_GraphicalLassoCV,psi_multitaper_mean_fs-1_fmin-0-25_fmax-0-5,0.14583333333333334,96,96
314,cov_GraphicalLassoCV,psi_wavelet_mean_fs-1_fmin-0_fmax-0-5_mean,0.1207620454290288,96,96
315,cov_GraphicalLassoCV,psi_wavelet_mean_fs-1_fmin-0_fmax-0-25_mean,0.11585290758061106,96,96
