feature_index,SPI-1,SPI-2,ks_statistic,n_VAR(1)-Symmetric,n_VAR(1)-Unidirectional
180,xcorr-sq_mean_sig-True,di_kernel_W-0.5__ij,0.29943836677056923,96,96
181,xcorr-sq_mean_sig-True,di_kernel_W-0.5__ji,0.13521432059552785,96,96
182,xcorr-sq_mean_sig-True,mi_gaussian,0.08470214136164902,96,96
183,xcorr-sq_mean_sig-True,mi_kraskov_NN-4,0.36429593891439216,96,96
184,xcorr-sq_mean_sig-True,mi_kraskov_NN-4_DCE,0.40467776691990626,96,96
185,xcorr-sq_mean_sig-True,mi_kernel_W-0.25,0.19624323891468676,96,96
186,xcorr-sq_mean_sig-True,tlmi_gaussian__ij,0.1200501386651236,96,96
187,xcorr-sq_mean_sig-True,tlmi_gaussian__ji,0.08536188330366501,96,96
188,xcorr-sq_mean_sig-True,tlmi_kraskov_NN-4__ij,0.2284481480447249,96,96
189,xcorr-sq_mean_sig-True,tlmi_kraskov_NN-4__ji,0.08701231396388875,96,96
190,xcorr-sq_mean_sig-True,tlmi_kraskov_NN-4_DCE__ij,0.27179530966525006,96,96
191,xcorr-sq_mean_sig-True,tlmi_kraskov_NN-4_DCE__ji,0.08642373455153862,96,96
192,xcorr-sq_mean_sig-True,tlmi_kernel_W-0.25__ij,0.1789606790497862,96,96
193,xcorr-sq_mean_sig-True,tlmi_kernel_W-0.25__ji,0.13162311372362406,96,96
194,xcorr-sq_mean_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ij,0.14814839302452604,96,96
195,xcorr-sq_mean_sig-True,te_kraskov_NN-4_k-max-10_tau-max-4__ji,0.13305156876598168,96,96
196,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ij,0.09777600959128997,96,96
197,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-max-10_tau-max-4__ji,0.14645833574413963,96,96
198,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ij,0.08993485830268211,96,96
199,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1__ji,0.15329945397068745,96,96
200,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ij,0.07034604504820208,96,96
201,xcorr-sq_mean_sig-True,te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1__ji,0.1667109555177944,96,96
202,xcorr-sq_mean_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ij,0.06207893283642728,96,96
203,xcorr-sq_mean_sig-True,te_kraskov_NN-4_k-1_kt-1_l-1_lt-1__ji,0.16702598206354297,96,96
204,xcorr-sq_mean_sig-True,te_kernel_W-0.25_k-1__ij,0.2706267561633485,96,96
205,xcorr-sq_mean_sig-True,te_kernel_W-0.25_k-1__ji,0.06556059218823079,96,96
206,xcorr-sq_mean_sig-True,gc_gaussian_k-max-10_tau-max-2__ij,0.16574785618626714,96,96
207,xcorr-sq_mean_sig-True,gc_gaussian_k-max-10_tau-max-2__ji,0.10827896018649674,96,96
208,xcorr-sq_mean_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ij,0.19539663437929744,96,96
209,xcorr-sq_mean_sig-True,gc_gaussian_k-1_kt-1_l-1_lt-1__ji,0.20258991940605903,96,96
210,xcorr-sq_mean_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ij,0.19539663437929744,96,96
211,xcorr-sq_mean_sig-True,te_symbolic_k-1_kt-1_l-1_lt-1__ji,0.20258991940605903,96,96
212,xcorr-sq_mean_sig-True,te_symbolic_k-10_kt-1_l-1_lt-1__ij,0.15803749844367587,96,96
