connectivity,output,K,omega_mean_hz,omega_std_frac,eta,n_pcs_median,n_pcs_min,n_pcs_max,pass_rate
ring-unidirectional,sin,0.5,0.5,0.1,0.0,2,2,6,0.4
ring-unidirectional,sin,0.5,0.5,0.1,0.05,2,2,5,0.4
ring-unidirectional,sin,0.5,0.5,0.3,0.0,6,5,8,1.0
ring-unidirectional,sin,0.5,0.5,0.3,0.05,6,4,9,1.0
ring-unidirectional,sin,0.5,0.5,0.6,0.0,9,7,10,1.0
ring-unidirectional,sin,0.5,0.5,0.6,0.05,8,7,10,1.0
ring-unidirectional,sin,1.0,0.1,0.1,0.0,1,1,2,0.0
ring-unidirectional,sin,1.0,0.1,0.1,0.05,1,1,2,0.0
ring-unidirectional,sin,1.0,0.1,0.3,0.0,1,1,2,0.0
ring-unidirectional,sin,1.0,0.1,0.3,0.05,1,1,2,0.0
ring-unidirectional,sin,1.0,0.1,0.6,0.0,1,1,2,0.0
ring-unidirectional,sin,1.0,0.1,0.6,0.05,1,1,2,0.0
ring-unidirectional,sin,1.0,0.5,0.1,0.0,1,1,3,0.2
ring-unidirectional,sin,1.0,0.5,0.1,0.05,1,1,2,0.0
ring-unidirectional,sin,1.0,0.5,0.3,0.0,3,3,6,1.0
ring-unidirectional,sin,1.0,0.5,0.3,0.05,3,3,6,1.0
ring-unidirectional,sin,1.0,0.5,0.6,0.0,6,5,9,1.0
ring-unidirectional,sin,1.0,0.5,0.6,0.05,6,5,9,1.0
ring-unidirectional,sin,2.0,0.1,0.1,0.0,1,1,2,0.0
ring-unidirectional,sin,2.0,0.1,0.1,0.05,1,1,2,0.0
ring-unidirectional,sin,2.0,0.1,0.3,0.0,1,1,2,0.0
ring-unidirectional,sin,2.0,0.1,0.3,0.05,1,1,2,0.0
ring-unidirectional,sin,2.0,0.1,0.6,0.0,1,1,2,0.0
ring-unidirectional,sin,2.0,0.1,0.6,0.05,1,1,2,0.0
ring-unidirectional,sin,2.0,0.5,0.1,0.0,1,1,2,0.0
ring-unidirectional,sin,2.0,0.5,0.1,0.05,1,1,2,0.0
ring-unidirectional,sin,2.0,0.5,0.3,0.0,2,2,4,0.2
ring-unidirectional,sin,2.0,0.5,0.3,0.05,2,2,2,0.0
ring-unidirectional,sin,2.0,0.5,0.6,0.0,3,3,6,1.0
ring-unidirectional,sin,2.0,0.5,0.6,0.05,3,3,6,1.0
ring-unidirectional,sin,4.0,0.1,0.1,0.0,1,1,2,0.0
ring-unidirectional,sin,4.0,0.1,0.1,0.05,1,1,2,0.0
ring-unidirectional,sin,4.0,0.1,0.3,0.0,1,1,2,0.0
ring-unidirectional,sin,4.0,0.1,0.3,0.05,1,1,2,0.0
ring-unidirectional,sin,4.0,0.1,0.6,0.0,1,1,2,0.0
ring-unidirectional,sin,4.0,0.1,0.6,0.05,1,1,2,0.0
ring-unidirectional,sin,4.0,0.5,0.1,0.0,1,1,2,0.0
ring-unidirectional,sin,4.0,0.5,0.1,0.05,1,1,2,0.0
ring-unidirectional,sin,4.0,0.5,0.3,0.0,1,1,2,0.0
ring-unidirectional,sin,4.0,0.5,0.3,0.05,1,1,2,0.0
ring-unidirectional,sin,4.0,0.5,0.6,0.0,2,2,4,0.2
ring-unidirectional,sin,4.0,0.5,0.6,0.05,2,2,4,0.2
ring-unidirectional,phase,0.1,0.1,0.1,0.0,7,7,8,1.0
ring-unidirectional,phase,0.1,0.1,0.1,0.05,8,6,8,1.0
ring-unidirectional,phase,0.1,0.1,0.3,0.0,8,7,9,1.0
ring-unidirectional,phase,0.1,0.1,0.3,0.05,8,8,9,1.0
ring-unidirectional,phase,0.1,0.1,0.6,0.0,9,8,9,1.0
ring-unidirectional,phase,0.1,0.1,0.6,0.05,9,8,9,1.0
ring-unidirectional,phase,0.1,0.5,0.1,0.0,9,8,9,1.0
ring-unidirectional,phase,0.1,0.5,0.1,0.05,9,8,9,1.0
ring-unidirectional,phase,0.1,0.5,0.3,0.0,9,9,10,1.0
ring-unidirectional,phase,0.1,0.5,0.3,0.05,9,8,10,1.0
ring-unidirectional,phase,0.1,0.5,0.6,0.0,10,10,10,1.0
ring-unidirectional,phase,0.1,0.5,0.6,0.05,10,10,10,1.0
ring-unidirectional,phase,0.3,0.1,0.1,0.0,2,2,8,0.4
ring-unidirectional,phase,0.3,0.1,0.1,0.05,3,2,8,0.8
