class,M,T,I,n_pcs_95
defect-turbulence,10,500,8,6
defect-turbulence,10,500,9,9
defect-turbulence,10,1000,0,9
defect-turbulence,10,1000,1,8
defect-turbulence,10,1000,2,9
defect-turbulence,10,1000,3,9
defect-turbulence,10,1000,4,9
defect-turbulence,10,1000,5,9
defect-turbulence,10,1000,6,5
defect-turbulence,10,1000,7,10
defect-turbulence,10,1000,8,9
defect-turbulence,10,1000,9,9
defect-turbulence,10,2000,0,9
defect-turbulence,10,2000,1,9
defect-turbulence,10,2000,2,9
defect-turbulence,10,2000,3,9
defect-turbulence,10,2000,4,9
defect-turbulence,10,2000,5,9
defect-turbulence,10,2000,6,9
defect-turbulence,10,2000,7,9
defect-turbulence,10,2000,8,9
defect-turbulence,10,2000,9,9
defect-turbulence,20,500,0,18
defect-turbulence,20,500,1,16
defect-turbulence,20,500,2,18
defect-turbulence,20,500,3,15
defect-turbulence,20,500,4,8
defect-turbulence,20,500,5,18
defect-turbulence,20,500,6,17
defect-turbulence,20,500,7,12
defect-turbulence,20,500,8,8
defect-turbulence,20,500,9,18
defect-turbulence,20,1000,0,18
defect-turbulence,20,1000,1,17
defect-turbulence,20,1000,2,18
defect-turbulence,20,1000,3,17
defect-turbulence,20,1000,4,13
defect-turbulence,20,1000,5,17
defect-turbulence,20,1000,6,18
defect-turbulence,20,1000,7,17
defect-turbulence,20,1000,8,16
defect-turbulence,20,1000,9,18
defect-turbulence,20,2000,0,17
defect-turbulence,20,2000,1,14
defect-turbulence,20,2000,2,18
defect-turbulence,20,2000,3,18
defect-turbulence,20,2000,4,18
defect-turbulence,20,2000,5,18
defect-turbulence,20,2000,6,17
defect-turbulence,20,2000,7,18
defect-turbulence,20,2000,8,17
defect-turbulence,20,2000,9,17
sti-i,5,500,0,3
sti-i,5,500,1,4
sti-i,5,500,2,4
sti-i,5,500,3,5
sti-i,5,500,4,5
sti-i,5,500,5,5
sti-i,5,500,6,5
sti-i,5,500,7,5
sti-i,5,500,8,3
sti-i,5,500,9,5
sti-i,5,1000,0,5
sti-i,5,1000,1,5
sti-i,5,1000,2,5
sti-i,5,1000,3,5
sti-i,5,1000,4,4
sti-i,5,1000,5,5
sti-i,5,1000,6,5
sti-i,5,1000,7,5
sti-i,5,1000,8,4
sti-i,5,1000,9,5
sti-i,5,2000,0,1
sti-i,5,2000,1,5
sti-i,5,2000,2,5
sti-i,5,2000,3,5
sti-i,5,2000,4,5
sti-i,5,2000,5,5
sti-i,5,2000,6,5
sti-i,5,2000,7,5
sti-i,5,2000,8,2
sti-i,5,2000,9,5
sti-i,10,500,0,6
sti-i,10,500,1,8
sti-i,10,500,2,6
sti-i,10,500,3,6
sti-i,10,500,4,10
sti-i,10,500,5,6
sti-i,10,500,6,9
sti-i,10,500,7,7
sti-i,10,500,8,8
sti-i,10,500,9,2
sti-i,10,1000,0,10
sti-i,10,1000,1,7
sti-i,10,1000,2,6
sti-i,10,1000,3,9
sti-i,10,1000,4,9
sti-i,10,1000,5,8
sti-i,10,1000,6,8
sti-i,10,1000,7,9
sti-i,10,1000,8,4
sti-i,10,1000,9,9
sti-i,10,2000,0,9
sti-i,10,2000,1,5
sti-i,10,2000,2,9
sti-i,10,2000,3,9
sti-i,10,2000,4,8
sti-i,10,2000,5,9
sti-i,10,2000,6,4
sti-i,10,2000,7,10
sti-i,10,2000,8,8
sti-i,10,2000,9,9
sti-i,20,500,0,11
sti-i,20,500,1,15
sti-i,20,500,2,18
sti-i,20,500,3,15
