class,seed,f0,f1,f2,f3,f4,f5
sti-ii,18,0.3004445446230826,0.3663756829951672,-0.8684280688641198,1.7554721035615846,0.28177622249781065,0.0019136638615493578
sti-ii,19,0.5510342751565194,0.6178081570543684,-0.8852908055836834,1.640756988581264,0.362894861829611,0.0019136638615493578
current K=-1 sig=0.6 bidir,0,0.06273750236753145,0.1601134372191749,0.990355908873646,1.506130059051632,0.5065166399366188,0.008567075077914574
current K=-1 sig=0.6 bidir,1,0.21653768406998183,0.40472761597201173,0.9892134231882082,1.5017232021639773,0.5588833732532892,0.004436647145156463
current K=-1 sig=0.6 bidir,2,0.13644947172778563,0.24740091544660153,0.9878350358978087,1.5017902543689852,0.5366818157109275,0.0062499999999999995
current K=-1 sig=0.6 bidir,3,0.1313631634006035,0.24732050443274,0.9887518155804639,1.5023235884966415,0.4885812438065463,0.005538065187014775
current K=-1 sig=0.6 bidir,4,0.054413751121158524,0.10688433624345467,0.9789434930948205,1.500457558771198,0.6177413348061508,0.017026948998205758
current K=-1 sig=0.6 bidir,5,0.07783044149658458,0.14477041425030054,0.9895919912236864,1.5664590996817525,0.5254347614566487,0.011192616235855001
current K=-1 sig=0.6 bidir,6,0.11253569481025794,0.18585049816073168,0.979028856068495,1.4978780493940633,0.5514493350176954,0.013355719529124031
current K=-1 sig=0.6 bidir,7,0.07222558851346743,0.1585601461684344,0.99018508221026,1.6477102770827312,0.5228188165815018,0.010633326241262656
current K=-1 sig=0.6 bidir,8,0.05811524527155884,0.14497692492406672,0.9799378077386093,1.5010216153140763,0.5202080500553563,0.011020887484113973
current K=-1 sig=0.6 bidir,9,0.040954294612329904,0.08140233024693397,0.9728987550812077,1.502098630124896,0.5495563070272407,0.016503617323654383
current K=-1 sig=0.6 bidir,10,0.11876255482963301,0.18699867775387813,0.9925592674730597,1.4948574025838535,0.5603798278993715,0.007042092334890604
current K=-1 sig=0.6 bidir,11,0.09619133742420408,0.1855787062800585,0.9811779071898817,1.497905231633738,0.5517378459659843,0.0073702977594192216
current K=-1 sig=0.6 bidir,12,0.1298854615124532,0.21554715526141674,0.9807038092166553,1.5127213319824313,0.5624189108703785,0.012693810007243688
current K=-1 sig=0.6 bidir,13,0.10630529545908557,0.16286771106076664,0.9843223460433055,1.5019553315431755,0.5570149869153452,0.011725258609221589
current K=-1 sig=0.6 bidir,14,0.05850309514911411,0.11642646598128745,0.9761487787769457,1.4965093130327884,0.5770077311555233,0.01931126108485668
current K=-1 sig=0.6 bidir,15,0.08761130487991944,0.17561649101368632,0.9743566065939089,1.4992236746818943,0.5663118610228849,0.011620683422377747
current K=-1 sig=0.6 bidir,16,0.07940557523594445,0.1812939608780219,0.9864918963829803,1.5015257500731045,0.5091850869024244,0.009407495764681481
current K=-1 sig=0.6 bidir,17,0.03677099376199466,0.09399161223072085,0.9799108464616257,1.500137957450368,0.566717263366468,0.014105836004115462
current K=-1 sig=0.6 bidir,18,0.15918623371839122,0.25983676008021506,0.9813525913872223,1.4967347918661644,0.553444555489649,0.009252124439317978
current K=-1 sig=0.6 bidir,19,0.09032392830767326,0.13750688333873007,0.9830257909874642,1.48886697907258,0.5632300732892312,0.013887803777055606
K=-1 sig=0.3 bidir,0,0.20183370054992597,0.3035143095204137,0.9900993998651165,1.5094586482115524,0.5579330859887699,0.004349815908460954
K=-1 sig=0.3 bidir,1,0.6535908955004961,0.9956952556306283,0.9886764680065736,1.501586551083089,0.6549195669015657,0.0
K=-1 sig=0.3 bidir,2,0.42210164320767213,0.6478453181147028,0.9881680994620388,1.5003663737694657,0.553689844874455,0.0019136638615493578
K=-1 sig=0.3 bidir,3,0.2969838514646231,0.4852848552758732,0.9885627122763821,1.5005868923721168,0.5235250141740215,0.003405389799641151
K=-1 sig=0.3 bidir,4,0.12579270253293848,0.23339601088790757,0.9852314316008496,1.50049277643504,0.5180076396157002,0.007624695818727788
K=-1 sig=0.3 bidir,5,0.19351338904573823,0.3327716409649011,0.9899035121059725,1.5017367592416475,0.5414951906490993,0.005298695299316616
K=-1 sig=0.3 bidir,6,0.19567667687005263,0.3036965394312421,0.9843923735604804,1.499588509055098,0.6173732679188564,0.005793905068043487
K=-1 sig=0.3 bidir,7,0.24459977487914558,0.37478941923793857,0.9899867617363256,1.5045449185957636,0.551624752122061,0.004878904686248749
K=-1 sig=0.3 bidir,8,0.21796849825155437,0.38003564623679137,0.9846839033478136,1.4987492885987321,0.5452445762462159,0.0030257682392245445
K=-1 sig=0.3 bidir,9,0.08733480241302026,0.19985344196587265,0.9824883408303553,1.4989663009897143,0.5094036824584867,0.0077733393523954685
K=-1 sig=0.3 bidir,10,0.2562265552376239,0.39876786176146756,0.9909678072121635,1.5019590885068577,0.5321778673467732,0.003244774946452373
K=-1 sig=0.3 bidir,11,0.4569886188413856,0.7560156124858126,0.984971519585123,1.4990767066312614,0.5946493086460953,0.0015624999999999999
K=-1 sig=0.3 bidir,12,0.21325862755995495,0.3012079908414158,0.9853289486518351,1.502051531191984,0.5657184884217854,0.00600089511552235
K=-1 sig=0.3 bidir,13,0.21277401932825582,0.3269464373271511,0.9869434491732767,1.4991806687716625,0.509505775461127,0.005078125
K=-1 sig=0.3 bidir,14,0.1769243371950632,0.25395759183332256,0.9841870918422071,1.5035350655721327,0.5607624073283691,0.00943987966687076
K=-1 sig=0.3 bidir,15,0.20743649775894327,0.3540832773807795,0.9823216485010603,1.4998646810399747,0.5319777152138352,0.0039836089949943625
K=-1 sig=0.3 bidir,16,0.2210184371666472,0.37469984480246504,0.9877562854668597,1.4992462353628693,0.5351382782074989,0.0029231698334171415
K=-1 sig=0.3 bidir,17,0.19103928607143017,0.3571989408795376,0.9858346600510727,1.5005011654431635,0.5898852612685224,0.008043461047646094
K=-1 sig=0.3 bidir,18,0.24004566725813611,0.4169671949398541,0.9852337677256575,1.4995748600321368,0.5450867617256013,0.0032447749464523733
K=-1 sig=0.3 bidir,19,0.2903126627731651,0.4603492651637519,0.9864381831502224,1.499926665383551,0.5192969710173758,0.004638414877749186
K=-2 sig=0.3 bidir (splay),0,0.3196255819678799,0.5219056981406933,0.9904628721781901,1.502623419949256,0.5152621666544795,0.001953125
